Code,Region,Subregion,Name
NA01,North America,Greenland,Greenland
NA02,North America,Canadian Tundra,Canadian Tundra
NA03,North America,Alaska,North Alaskan Tundra
NA04,North America,Alaska,Greater Alaska Taiga & Tundra
NA05,North America,Alaska,Far Northern Pacific Coast
NA06,North America,Canadian Boreal Forest,Greater Yukon
NA07,North America,Canadian Boreal Forest,"Northwest Canadian Taiga, Lakes, & Wetlands"
NA08,North America,Canadian Boreal Forest,Mid-Canada Boreal Plains & Foothill Forests
NA09,North America,Canadian Boreal Forest,Canadian Shield & Coastal Taiga-Forests
NA10,North America,Northeast American Forests,Northeastern American Mixed Forests
NA11,North America,Northeast American Forests,Northern Great Lakes Forests
NA12,North America,Great Plains,Northern Prairie & Aspen Forests
NA13,North America,American West,Greater Rockies & Mountain Forests
NA14,North America,American West,Northwest Intermountain Conifer Forests
NA15,North America,North Pacific Coast,Pacific Northwest Coastal Forests
NA16,North America,North Pacific Coast,Cascades Mountain Forests & Valleys
NA17,North America,American West,Columbia Plateau & Blue Mountains
NA18,North America,American West,Great Basin & Columbia Steppe
NA19,North America,American West,Colorado Plateau & Mountain Forests
NA20,North America,Great Plains,Southern Prairie Mixed Grasslands
NA21,North America,Great Plains,Midwestern Tallgrass Prairie & Forest Transition
NA22,North America,Southeast US Savannas & Forests,Ozarks Mixed Forests
NA23,North America,Northeast American Forests,Interior Plateau & Southern Great Lakes Forests
NA24,North America,Northeast American Forests,Appalachia & Allegheny Interior Forests
NA25,North America,Southeast US Savannas & Forests,Southeast Savannas & Riparian Forests
NA26,North America,Southeast US Savannas & Forests,Caribbean Islands
NA27,North America,Southeast US Savannas & Forests,Western Gulf Coastal Grasslands
NA28,North America,Southeast US Savannas & Forests,Southern Mixed Forests & Blackland Prairies
NA29,North America,Mexican Drylands,Sierra Madre Forests & Mexican Drylands
NA30,North America,Mexican Drylands,Baja California & Southern Deserts
NA31,North America,North Pacific Coast,Greater California
NT01,South America,Andes & Pacific Coast,Chilean Mixed Forests
NT02,South America,South American Grasslands,Patagonia Steppe & Low Mountains
NT03,South America,South American Grasslands,Rio de la Plata Grasslands
NT04,South America,South American Grasslands,Chaco Grasslands
NT05,South America,Andes & Pacific Coast,Andean Mountain Grasslands
NT06,South America,Andes & Pacific Coast,Chilean Matorral Shrublands & Savanna
NT07,South America,Andes & Pacific Coast,Juan Fernández & Desventuradas Islands
NT08,South America,Andes & Pacific Coast,South American Coastal Deserts
NT09,South America,Andes & Pacific Coast,Galápagos Islands
NT10,South America,Andes & Pacific Coast,Ecuadorean Dry Coastal Forests & Flooded Grasslands
NT11,South America,Andes & Pacific Coast,Andean Mountain Forests & Valleys
NT12,South America,Brazil Cerrado & Atlantic Coast,Pantanal Flooded Grasslands & Dry Forests
NT13,South America,Brazil Cerrado & Atlantic Coast,Cerrado Savannas
NT14,South America,Brazil Cerrado & Atlantic Coast,Brazilian Atlantic Moist Forests
NT15,South America,Brazil Cerrado & Atlantic Coast,Brazilian Atlantic Dry Forests
NT16,South America,Amazonia,Amazon River Estuary
NT17,South America,Amazonia,Southern Amazonian Forests
NT18,South America,Amazonia,Western Amazonian Forests & Plains
NT19,South America,Amazonia,Central Amazonian Forests
NT20,South America,Amazonia,Northern Amazonian Forests
NT21,South America,Upper South America,Guianan Forests & Savanna
NT22,South America,Upper South America,Llanos & Dry Forests
NT23,South America,Upper South America,Venezuelan Coast
NT24,Central America,Central America,Central American Isthmian & Colombian Coastal Forests
NT25,Central America,Central America,Central American Mixed Forests
NT26,Central America,Caribbean,Caribbean Islands
NT27,Central America,Central America,Yucatan & Veracruz Mixed Forests
NT28,Central America,Central America,Mexican Dry & Coniferous Forests
NT29,Central America,Central America,Mexican Subtropical Islands
PA01,Subarctic Eurasia,Palearctic Tundra,Russian Arctic Desert Islands
PA02,Subarctic Eurasia,Scandinavia & West Boreal Forests,Iceland
PA03,Subarctic Eurasia,Scandinavia & West Boreal Forests,Scandinavian Birch & Coastal Conifer Forests
PA04,Subarctic Eurasia,Palearctic Tundra,Greater Eurasian Tundra
PA05,Subarctic Eurasia,Sea of Okhotsk & Bearing Tundra/Taiga,East Eurasian Coastal Tundra
PA06,Subarctic Eurasia,Sea of Okhotsk & Bearing Tundra/Taiga,"Sea of Okhotsk Coastal Taiga, Meadows & Tundra"
PA07,Subarctic Eurasia,Siberia & East Boreal Forests,Siberian Boreal Forests & Mountain Tundra
PA08,Subarctic Eurasia,Scandinavia & West Boreal Forests,Ural Mountains & West Eurasian Taiga Forests
PA09,Western Eurasia,Anglo-Celtic Isles,"Great Britain, Ireland & Faroe Islands"
PA10,Western Eurasia,Greater European Mixed Forests,West European Coastal Mixed Forests
PA11,Western Eurasia,Greater European Mixed Forests,Baltic Sea & Sarmatic Mixed Forests
PA12,Western Eurasia,Greater European Mixed Forests,European Interior Mixed Forests
PA13,Western Eurasia,European Mountain Forests,Alps & Po Basin Mixed Forests
